数据日期,用户编号,地址码,地区码,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2015/5/17,903474879,04435(1153),4221,主供主表,C相,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.17,0.47,0.8,0.66,0.66,0.69,0.52,0.71,0.88,0.87,0.45,0.16,0.18,0.18,0.14,0.15,0.13,800,高供高计,1000,东新营业班
2015/5/18,903474879,04435(1153),4221,主供主表,A相,0.14,0.11,0.1,0.1,0.1,0.1,0.2,0.28,1.07,0.93,1.06,0.81,0.54,0.4,0.41,0.38,0.39,0.35,0.27,0.25,0.22,0.17,0.16,0.15,800,高供高计,1000,东新营业班
2015/5/18,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/18,903474879,04435(1153),4221,主供主表,C相,0.11,0.09,0.08,0.08,0.08,0.08,0.18,0.25,1.02,0.91,1.03,0.76,0.45,0.32,0.35,0.38,0.38,0.34,0.26,0.23,0.2,0.15,0.14,0.14,800,高供高计,1000,东新营业班
2015/5/19,903474879,04435(1153),4221,主供主表,A相,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.25,0.34,0.36,0.51,0.39,0.38,0.4,0.37,0.26,0.19,0.18,0.17,0.15,0.12,0.15,0.096,800,高供高计,1000,东新营业班
2015/5/19,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/19,903474879,04435(1153),4221,主供主表,C相,0.1,0.09,0.1,0.1,0.09,0.1,0.09,0.11,0.22,0.31,0.36,0.5,0.41,0.37,0.37,0.35,0.26,0.18,0.16,0.16,0.13,0.11,0.13,0.082,800,高供高计,1000,东新营业班
2015/5/20,903474879,04435(1153),4221,主供主表,A相,0.1,0.1,0.1,0.1,0.1,0.11,0.3,0.37,0.43,0.42,0.51,0.47,0.41,0.45,0.49,0.34,0.21,0.18,0.23,0.16,0.17,0.15,0.12,0.102,800,高供高计,1000,东新营业班
2015/5/20,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/20,903474879,04435(1153),4221,主供主表,C相,0.08,0.09,0.08,0.08,0.09,0.1,0.25,0.35,0.39,0.41,0.5,0.46,0.41,0.48,0.52,0.37,0.24,0.17,0.2,0.14,0.13,0.12,0.09,0.081,800,高供高计,1000,东新营业班
2015/5/21,903474879,04435(1153),4221,主供主表,A相,0.11,0.11,0.11,0.11,0.11,0.12,0.36,0.34,0.41,0.35,0.43,0.34,0.35,0.53,0.41,0.35,0.23,0.18,0.17,0.17,0.15,0.14,0.1,0.102,800,高供高计,1000,东新营业班
2015/5/21,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/21,903474879,04435(1153),4221,主供主表,C相,0.09,0.08,0.1,0.08,0.08,0.11,0.31,0.42,0.44,0.38,0.44,0.3,0.34,0.52,0.43,0.34,0.22,0.15,0.16,0.14,0.13,0.13,0.09,0.089,800,高供高计,1000,东新营业班
2015/5/22,903474879,04435(1153),4221,主供主表,A相,0.11,0.11,0.11,0.2,0.1,0.33,0.28,0.37,0.38,0.39,0.32,0.31,0.32,0.35,0.34,0.37,0.27,0.22,0.19,0.17,0.15,0.14,0.13,0.1,800,高供高计,1000,东新营业班
2015/5/22,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/22,903474879,04435(1153),4221,主供主表,C相,0.09,0.09,0.09,0.18,0.09,0.3,0.27,0.41,0.4,0.41,0.37,0.33,0.37,0.4,0.38,0.35,0.25,0.18,0.15,0.14,0.12,0.12,0.1,0.083,800,高供高计,1000,东新营业班
2015/5/23,903474879,04435(1153),4221,主供主表,A相,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.15,0.16,0.18,0.17,0.18,0.19,0.16,0.17,0.18,0.16,0.17,0.16,0.15,0.15,0.14,0.1,0.089,800,高供高计,1000,东新营业班
2015/5/23,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/23,903474879,04435(1153),4221,主供主表,C相,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.15,0.17,0.16,0.17,0.15,0.15,0.15,0.17,0.17,0.15,0.15,0.13,0.12,0.12,0.11,0.07,0.066,800,高供高计,1000,东新营业班
2015/5/24,903474879,04435(1153),4221,主供主表,A相,0.09,0.09,0.08,0.09,0.09,0.1,0.1,0.12,0.14,0.13,0.14,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.2,0.19,0.2,0.19,0.1,0.086,800,高供高计,1000,东新营业班
2015/5/24,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/24,903474879,04435(1153),4221,主供主表,C相,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.11,0.13,0.13,0.12,0.15,0.15,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.08,0.071,800,高供高计,1000,东新营业班
2015/5/25,903474879,04435(1153),4221,主供主表,A相,0.09,0.09,0.09,0.09,0.09,0.11,0.32,0.41,0.43,0.44,0.56,0.39,1.92,1,1.03,0.38,0.27,0.21,0.2,0.19,0.18,0.16,0.15,0.146,800,高供高计,1000,东新营业班
2015/5/25,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/25,903474879,04435(1153),4221,主供主表,C相,0.08,0.07,0.07,0.07,0.07,0.09,0.3,0.44,0.46,0.48,0.62,0.38,1.92,1.03,1.1,0.4,0.29,0.21,0.18,0.16,0.16,0.14,0.12,0.115,800,高供高计,1000,东新营业班
2015/5/26,903474879,04435(1153),4221,主供主表,A相,0.13,0.15,0.15,0.13,0.14,0.15,0.37,1.06,1.08,0.82,0.92,0.97,1.05,1,1.05,0.64,0.28,0.19,0.19,0.18,0.18,0.17,0.13,0.133,800,高供高计,1000,东新营业班
2015/5/26,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/26,903474879,04435(1153),4221,主供主表,C相,0.1,0.12,0.12,0.1,0.11,0.12,0.33,1.06,1.08,0.85,0.94,0.98,1.07,1.04,1.07,0.67,0.26,0.18,0.18,0.15,0.15,0.15,0.11,0.116,800,高供高计,1000,东新营业班
2015/5/27,903474879,04435(1153),4221,主供主表,A相,0.13,0.11,0.11,0.14,0.12,0.16,0.43,1,1.07,1.05,1.02,0.98,1.03,1.07,1.1,0.64,0.39,0.22,0.2,0.19,0.17,0.18,0.14,0.107,800,高供高计,1000,东新营业班
2015/5/27,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/27,903474879,04435(1153),4221,主供主表,C相,0.11,0.1,0.1,0.12,0.11,0.15,0.44,0.95,1.03,1.05,0.99,0.97,0.99,1.07,1.07,0.65,0.39,0.2,0.19,0.17,0.15,0.16,0.11,0.09,800,高供高计,1000,东新营业班
2015/5/28,903474879,04435(1153),4221,主供主表,A相,0.11,0.13,0.12,0.13,0.13,0.12,0.36,1.05,1.01,1.18,0.9,0.91,1.06,1.18,1.06,0.64,0.29,0.22,0.22,0.2,0.17,0.18,0.14,0.118,800,高供高计,1000,东新营业班
2015/5/28,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/28,903474879,04435(1153),4221,主供主表,C相,0.09,0.11,0.1,0.11,0.11,0.1,0.3,1.05,0.99,1.2,0.96,0.89,1.08,1.22,1.03,0.66,0.29,0.2,0.19,0.17,0.15,0.15,0.12,0.093,800,高供高计,1000,东新营业班
2015/5/29,903474879,04435(1153),4221,主供主表,A相,0.14,0.15,0.12,0.14,0.14,0.15,0.4,1.15,1.31,1.15,1.3,0.95,1.09,0.92,1.09,0.41,0.32,0.32,0.28,0.3,0.16,0.18,0.14,0.137,800,高供高计,1000,东新营业班
2015/5/29,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/29,903474879,04435(1153),4221,主供主表,C相,0.11,0.12,0.09,0.11,0.11,0.16,0.35,1.13,1.28,1.12,1.28,0.91,1.03,0.92,1.05,0.42,0.31,0.33,0.27,0.26,0.14,0.14,0.11,0.109,800,高供高计,1000,东新营业班
2015/5/30,903474879,04435(1153),4221,主供主表,A相,0.13,0.13,0.13,0.12,0.09,0.12,0.17,0.19,0.26,0.22,0.19,0.2,0.19,0.2,0.19,0.17,0.28,0.21,0.2,0.18,0.18,0.18,0.11,0.117,800,高供高计,1000,东新营业班
2015/5/30,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/30,903474879,04435(1153),4221,主供主表,C相,0.1,0.1,0.1,0.09,0.07,0.11,0.15,0.18,0.26,0.22,0.18,0.21,0.19,0.21,0.19,0.17,0.27,0.18,0.17,0.14,0.15,0.15,0.09,0.099,800,高供高计,1000,东新营业班
2015/5/31,903474879,04435(1153),4221,主供主表,A相,0.12,0.13,0.13,0.11,0.13,0.13,0.19,0.47,0.46,0.69,0.73,0.32,0.23,0.23,0.33,0.23,0.24,0.19,0.22,0.19,0.14,0.14,0.13,0.11,800,高供高计,1000,东新营业班
2015/5/31,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/31,903474879,04435(1153),4221,主供主表,C相,0.1,0.11,0.11,0.09,0.11,0.11,0.18,0.49,0.47,0.67,0.69,0.27,0.19,0.2,0.29,0.22,0.22,0.16,0.18,0.16,0.12,0.14,0.1,0.083,800,高供高计,1000,东新营业班
2015/6/1,903474879,04435(1153),4221,主供主表,A相,0.11,0.12,0.12,0.13,0.11,0.15,0.43,1.39,1.15,1.4,1.58,1.36,1.4,1.53,1.55,0.84,0.25,0.43,0.38,0.41,0.45,0.36,0.33,0.304,800,高供高计,1000,东新营业班
2015/6/1,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
