测量点,数据日期,正向有功-总,示数,正向无功-总,示数
分表０１,2016/10/28,45.6,8681.36,9,3430.41
分表０１,2016/10/29,55.8,8682.29,16.8,3430.69
分表０１,2016/10/30,64.2,8683.36,22.2,3431.06
分表０１,2016/10/31,64.8,8684.44,19.2,3431.38
分表０１,2016/11/1,67.8,8685.57,16.2,3431.65
分表０１,2016/11/2,59.4,,13.8,
分表０１,2016/11/3,58.2,8687.53,12.6,3432.09
分表０１,2016/11/4,66,8688.63,18.6,3432.4
分表０１,2016/11/5,63.6,8689.69,23.4,3432.79
分表０１,2016/11/6,72.6,8690.9,71.4,3433.98
分表０１,2016/11/7,68.4,8692.04,68.4,3435.12
分表０１,2016/11/8,48.6,8692.85,14.4,3435.36
分表０１,2016/11/9,49.8,8693.68,14.4,3435.6
分表０１,2016/11/10,54.6,8694.59,19.2,3435.92
分表０１,2016/11/11,66,8695.69,48.6,3436.73
分表０１,2016/11/12,76.2,8696.96,70.8,3437.91
分表０１,2016/11/13,75.6,8698.22,75.6,3439.17
分表０１,2016/11/14,72,8699.42,64.2,3440.24
分表０１,2016/11/15,67.8,8700.55,49.8,3441.07
分表０１,2016/11/16,72,8701.75,62.4,3442.11
分表０１,2016/11/17,99,8703.4,60,3443.11
分表０１,2016/11/18,130.8,8705.58,62.4,3444.15
分表０１,2016/11/19,123,8707.63,47.4,3444.94
分表０１,2016/11/20,132,8709.83,67.8,3446.07
分表０１,2016/11/21,104.4,8711.57,55.8,3447
分表０１,2016/11/22,118.2,8713.54,69,3448.16
分表０１,2016/11/23,118.8,8715.52,58.2,3449.12
分表０１,2016/11/24,121.8,8717.55,50.4,3449.96
分表０１,2016/11/25,102.6,8719.26,48,3450.76
分表０１,2016/11/26,82.8,8720.64,30.6,3451.27
分表０１,2016/11/27,90.6,8722.15,27,3451.72
分表０１,2016/11/28,85.8,8723.58,32.4,3452.26
分表０１,2016/11/29,83.4,8724.97,34.2,3452.83
