测量点,数据日期,正向有功-总,示数,正向无功-总,示数
主供主表,2016/10/4,380,777.35,230,414.69
主供主表,2016/10/5,420,777.77,240,414.93
主供主表,2016/10/6,320,778.09,210,415.14
主供主表,2016/10/7,350,778.44,200,415.34
主供主表,2016/10/8,390,778.83,220,415.56
主供主表,2016/10/9,410,779.24,180,415.74
主供主表,2016/10/10,400,779.64,170,415.91
主供主表,2016/10/11,440,780.08,180,416.09
主供主表,2016/10/12,440,780.52,160,416.25
主供主表,2016/10/13,410,780.93,140,416.39
主供主表,2016/10/14,420,781.35,170,416.56
主供主表,2016/10/15,490,781.84,230,416.79
主供主表,2016/10/16,390,782.23,190,416.98
主供主表,2016/10/17,420,782.65,250,417.23
主供主表,2016/10/18,390,783.04,200,417.43
主供主表,2016/10/19,440,783.48,220,417.65
主供主表,2016/10/20,380,783.86,160,417.81
主供主表,2016/10/21,420,784.28,160,417.97
主供主表,2016/10/22,400,784.68,180,418.15
主供主表,2016/10/23,440,785.12,190,418.34
主供主表,2016/10/24,460,785.58,190,418.53
主供主表,2016/10/25,390,785.98,170,418.7
主供主表,2016/10/26,500,786.47,220,418.92
主供主表,2016/10/27,480,786.95,180,419.1
主供主表,2016/10/28,470,787.42,180,419.28
主供主表,2016/10/29,600,788.02,230,419.51
主供主表,2016/10/30,490,788.51,190,419.7
主供主表,2016/10/31,490,789,170,419.87
主供主表,2016/11/1,480,789.48,170,420.04
主供主表,2016/11/2,440,,160,
主供主表,2016/11/3,400,790.32,210,420.41
主供主表,2016/11/4,440,790.76,260,420.67
主供主表,2016/11/5,440,791.2,190,420.86
主供主表,2016/11/6,470,791.68,280,421.14
主供主表,2016/11/7,430,792.1,240,421.38
主供主表,2016/11/8,520,792.62,240,421.63
主供主表,2016/11/9,320,792.94,150,421.77
主供主表,2016/11/10,360,793.3,180,421.95
主供主表,2016/11/11,360,793.66,180,422.14
主供主表,2016/11/12,350,794.01,200,422.33
主供主表,2016/11/13,370,794.38,220,422.55
主供主表,2016/11/14,430,794.81,240,422.79
主供主表,2016/11/15,370,795.18,210,423
主供主表,2016/11/16,410,795.59,230,423.23
主供主表,2016/11/17,390,795.98,200,423.43
主供主表,2016/11/18,410,796.39,210,423.64
主供主表,2016/11/19,360,796.75,170,423.81
主供主表,2016/11/20,380,797.13,220,424.03
主供主表,2016/11/21,400,797.53,210,424.24
主供主表,2016/11/22,360,797.89,180,424.42
主供主表,2016/11/23,370,798.26,180,424.6
主供主表,2016/11/24,360,798.62,210,424.81
主供主表,2016/11/25,380,799,230,425.04
主供主表,2016/11/26,340,799.34,190,425.23
主供主表,2016/11/27,340,799.68,180,425.41
主供主表,2016/11/28,340,800.02,180,425.59
主供主表,2016/11/29,350,800.37,180,425.77
,,,,,
