数据日期,用户名称,综合倍率,表位数,总,尖,峰,平,谷
2015/6/5,楚天激光集团股份有限公司,1000,6.2,1700,0,420,1130,150
2015/6/5,楚天激光集团股份有限公司,100,5.2,91,0,30,43,18
2015/6/5,楚天激光集团股份有限公司,60,5.2,148.2,0,41.4,89.4,17.4
2015/6/6,楚天激光集团股份有限公司,1000,6.2,620,0,180,310,130
2015/6/6,楚天激光集团股份有限公司,100,5.2,75,0,27,42,6
2015/6/6,楚天激光集团股份有限公司,60,5.2,103.2,0,30.6,58.2,14.4
2015/6/7,楚天激光集团股份有限公司,1000,6.2,960,0,300,490,170
2015/6/7,楚天激光集团股份有限公司,100,5.2,75,0,21,39,15
2015/6/7,楚天激光集团股份有限公司,60,5.2,92.4,0,27.6,46.8,18
2015/6/8,楚天激光集团股份有限公司,1000,6.2,1660,0,410,1120,130
2015/6/8,楚天激光集团股份有限公司,100,5.2,74,0,32,39,3
2015/6/8,楚天激光集团股份有限公司,60,5.2,147.6,0,42,88.8,16.8
2015/6/9,楚天激光集团股份有限公司,1000,6.2,1810,0,460,1220,130
2015/6/9,楚天激光集团股份有限公司,100,5.2,70,0,30,37,3
2015/6/9,楚天激光集团股份有限公司,60,5.2,151.2,0,42.6,91.8,16.8
2015/6/10,楚天激光集团股份有限公司,1000,6.2,2000,0,590,1280,140
2015/6/10,楚天激光集团股份有限公司,100,5.2,71,0,29,37,5
2015/6/10,楚天激光集团股份有限公司,60,5.2,160.8,0,50.4,91.2,19.2
2015/6/11,楚天激光集团股份有限公司,1000,6.2,2310,0,570,1570,160
2015/6/11,楚天激光集团股份有限公司,100,5.2,73,0,29,38,6
2015/6/11,楚天激光集团股份有限公司,60,5.2,174.6,0,49.8,98.4,26.4
2015/6/12,楚天激光集团股份有限公司,1000,6.2,2610,0,800,1650,160
2015/6/12,楚天激光集团股份有限公司,100,5.2,88,0,37,46,5
2015/6/12,楚天激光集团股份有限公司,60,5.2,184.2,0,57,99.6,27.6
2015/6/13,楚天激光集团股份有限公司,1000,6.2,1560,0,360,1030,170
2015/6/13,楚天激光集团股份有限公司,100,5.2,65,0,22,39,4
2015/6/13,楚天激光集团股份有限公司,60,5.2,150,0,41.4,82.2,26.4
2015/6/14,楚天激光集团股份有限公司,1000,6.2,490,0,140,230,130
2015/6/14,楚天激光集团股份有限公司,100,5.2,58,0,20,35,3
2015/6/14,楚天激光集团股份有限公司,60,5.2,105.6,0,30,52.2,23.4
2015/6/15,楚天激光集团股份有限公司,1000,6.2,2570,0,630,1670,260
2015/6/15,楚天激光集团股份有限公司,100,5.2,76,0,32,40,4
2015/6/15,楚天激光集团股份有限公司,60,5.2,160.2,0,44.4,91.8,24
2015/6/16,楚天激光集团股份有限公司,1000,6.2,2540,0,590,1710,240
2015/6/16,楚天激光集团股份有限公司,100,5.2,66,0,21,41,4
2015/6/16,楚天激光集团股份有限公司,60,5.2,160.8,0,43.2,92.4,25.2
2015/6/17,楚天激光集团股份有限公司,1000,6.2,2080,0,510,1330,250
2015/6/17,楚天激光集团股份有限公司,100,5.2,73,0,28,38,7
2015/6/17,楚天激光集团股份有限公司,60,5.2,147.6,0,38.4,85.2,24
2015/6/18,楚天激光集团股份有限公司,1000,6.2,2110,0,480,1400,220
2015/6/18,楚天激光集团股份有限公司,100,5.2,68,0,25,40,3
