测量点,数据日期,正向有功-总,示数,正向无功-总,示数
分表０２,2015/5/1,,,,
分表０２,2015/5/2,,,,
分表０２,2015/5/3,,,,
分表０２,2015/5/4,,,,
分表０２,2015/5/5,,,,
分表０２,2015/5/6,,,,
分表０２,2015/5/7,,,,
分表０２,2015/5/8,,,,
分表０２,2015/5/9,,,,
分表０２,2015/5/10,,,,
分表０２,2015/5/11,,,,
分表０２,2015/5/12,,,,
分表０２,2015/5/13,76,"4,818.18",37,"2,498.81"
分表０２,2015/5/14,106,"4,819.24",42,"2,499.23"
分表０２,2015/5/15,128,"4,820.52",60,"2,499.83"
分表０２,2015/5/16,94,"4,821.46",37,"2,500.20"
分表０２,2015/5/17,92,"4,822.39",41,"2,500.61"
分表０２,2015/5/18,95,"4,823.33",42,"2,501.03"
分表０２,2015/5/19,95,"4,824.28",37,"2,501.40"
分表０２,2015/5/20,108,"4,825.36",43,"2,501.83"
分表０２,2015/5/21,102,"4,826.38",41,"2,502.24"
分表０２,2015/5/22,109,"4,827.47",43,"2,502.67"
分表０２,2015/5/23,94,"4,828.41",41,"2,503.08"
分表０２,2015/5/24,88,"4,829.29",40,"2,503.48"
分表０２,2015/5/25,93,"4,830.22",38,"2,503.86"
分表０２,2015/5/26,102,"4,831.24",38,"2,504.24"
分表０２,2015/5/27,106,"4,832.30",41,"2,504.65"
分表０２,2015/5/28,98,"4,833.28",37,"2,505.02"
分表０２,2015/5/29,93,"4,834.21",37,"2,505.39"
分表０２,2015/5/30,105,"4,835.26",41,"2,505.80"
分表０２,2015/5/31,74,"4,836.00",31,"2,506.11"
分表０２,2015/6/1,59,"4,836.59",29,"2,506.40"
分表０２,2015/6/2,75,"4,837.34",33,"2,506.73"
分表０２,2015/6/3,62,"4,837.96",31,"2,507.04"
分表０２,2015/6/4,77,"4,838.73",46,"2,507.50"
分表０２,2015/6/5,91,"4,839.64",51,"2,508.01"
分表０２,2015/6/6,75,"4,840.39",43,"2,508.45"
分表０２,2015/6/7,75,"4,841.14",49,"2,508.93"
分表０２,2015/6/8,74,"4,841.88",35,"2,509.28"
分表０２,2015/6/9,70,"4,842.58",37,"2,509.65"
分表０２,2015/6/10,71,"4,843.29",34,"2,509.99"
分表０２,2015/6/11,73,"4,844.02",36,"2,510.35"
分表０２,2015/6/12,88,"4,844.90",35,"2,510.70"
分表０２,2015/6/13,65,"4,845.55",33,"2,511.04"
分表０２,2015/6/14,58,"4,846.13",29,"2,511.32"
分表０２,2015/6/15,76,"4,846.89",29,"2,511.61"
分表０２,2015/6/16,66,"4,847.55",26,"2,511.87"
分表０２,2015/6/17,73,"4,848.28",32,"2,512.19"
分表０２,2015/6/18,68,"4,848.96",29,"2,512.48"
