数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2013/1/13,分表０１,无功功率,4.8,4.8,2.4,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,500,高供高计,60,常青营业一班
2013/1/14,分表０１,有功功率,6.144,9.546,5.904,9.426,4.842,4.824,9.15,3.816,2.934,40.44,63.174,43.986,54.72,48.36,47.97,53.736,69.426,66.972,96.618,76.488,77.076,99.282,84.228,81.3,500,高供高计,60,常青营业一班
2013/1/14,分表０１,无功功率,3,3.6,3,3,3,3,3,0,0,7.2,16.8,13.8,22.8,19.8,22.8,27,31.2,25.8,32.4,15,16.2,35.4,22.2,22.8,500,高供高计,60,常青营业一班
2013/1/15,分表０１,有功功率,79.704,80.424,99.48,81.594,81.342,85.038,77.97,84,81.162,70.608,77.076,61.29,88.74,97.794,69.252,78.102,66.864,60.084,109.89,89.472,101.31,98.946,93.498,99.258,500,高供高计,60,常青营业一班
2013/1/15,分表０１,无功功率,24,23.4,37.2,24,18,30.6,22.2,25.8,13.8,31.2,31.8,23.4,35.4,43.8,36,35.4,28.2,25.2,30.6,7.8,25.8,23.4,16.8,24,500,高供高计,60,常青营业一班
2013/1/16,分表０１,有功功率,91.098,97.404,93.588,97.254,102.174,94.26,98.736,100.872,100.674,78.066,85.38,84.114,101.736,120.342,106.05,67.71,66.336,90.846,100.392,90.636,87.168,95.916,94.962,86.382,500,高供高计,60,常青营业一班
2013/1/16,分表０１,无功功率,17.4,25.8,18.6,25.8,28.2,16.8,26.4,26.4,14.4,33,31.2,27.6,24.6,34.2,27.6,23.4,24,31.2,22.8,18,16.2,21.6,18.6,15.6,500,高供高计,60,常青营业一班
2013/1/17,分表０１,有功功率,95.724,102.852,98.604,90.576,103.2,91.626,103.11,92.628,94.89,75.036,106.128,88.062,136.104,127.89,78.984,82.254,89.268,84.6,90.276,72.672,82.254,75.414,81.642,87.486,500,高供高计,60,常青营业一班
2013/1/17,分表０１,无功功率,25.8,34.2,27,21,36,22.2,33.6,24,21.6,24,33,31.2,43.2,39.6,27,27.6,33.6,22.2,34.8,18.6,33,24.6,29.4,34.2,500,高供高计,60,常青营业一班
2013/1/19,分表０１,有功功率,95.79,92.604,83.19,84.252,78.114,75.48,85.014,88.566,90.834,84.582,102.336,89.658,125.934,111.456,94.668,87.582,58.398,70.032,63.654,63.486,55.428,68.178,67.26,70.716,500,高供高计,60,常青营业一班
2013/1/19,分表０１,无功功率,33,36,32.4,30,22.8,16.8,28.2,24,30,32.4,37.2,34.8,39.6,34.8,35.4,33,24,36,35.4,32.4,27.6,40.2,35.4,34.2,500,高供高计,60,常青营业一班
2013/1/20,分表０１,有功功率,42.738,13.278,13.476,12.756,13.212,17.232,13.956,13.554,10.428,6.078,11.022,14.382,9.45,8.7,8.874,7.842,9.648,6.018,4.572,4.488,3.168,6.624,6.348,17.094,500,高供高计,60,常青营业一班
2013/1/20,分表０１,无功功率,39,15.6,15,15,15,14.4,15,15,10.8,4.2,2.4,0.6,1.2,1.2,1.2,1.2,1.2,0.6,0.6,0.6,0,3.6,4.2,7.8,500,高供高计,60,常青营业一班
2013/1/21,分表０１,有功功率,11.274,14.172,11.712,14.43,13.71,13.734,9.12,6.18,7.638,105.672,108.972,109.11,121.398,105.492,101.598,95.598,92.154,131.376,62.916,64.494,78.18,72.078,59.04,68.22,500,高供高计,60,常青营业一班
2013/1/21,分表０１,无功功率,8.4,7.8,7.2,7.2,7.2,7.2,7.2,3.6,3.6,31.8,45,48,49.8,51.6,42.6,44.4,39.6,55.8,33.6,45,45,47.4,33.6,39.6,500,高供高计,60,常青营业一班
2013/1/22,分表０１,有功功率,71.7,69.948,62.232,64.812,72.438,65.328,63.582,57.792,67.578,108.402,105.9,130.374,119.07,127.272,115.638,94.83,122.598,106.074,69.822,81.144,69.522,78.768,73.242,76.596,500,高供高计,60,常青营业一班
2013/1/22,分表０１,无功功率,47.4,42,35.4,40.8,48,36.6,31.2,30,27,36.6,33,45,41.4,51.6,53.4,43.2,46.2,37.2,34.2,46.2,33,33.6,35.4,34.8,500,高供高计,60,常青营业一班
2013/1/23,分表０１,有功功率,85.14,77.634,72.204,74.736,78.954,65.85,77.97,69.108,78.78,92.424,90.576,96.126,107.784,98.28,90.936,95.94,84.552,111.69,77.268,74.166,85.368,67.674,66.384,70.338,500,高供高计,60,常青营业一班
2013/1/23,分表０１,无功功率,39.6,37.2,36,43.2,41.4,31.8,43.2,28.8,37.8,36.6,39.6,39.6,40.2,40.2,47.4,45.6,45,51,35.4,37.8,45.6,29.4,28.8,35.4,500,高供高计,60,常青营业一班
2013/1/24,分表０１,有功功率,79.068,72.966,87.396,80.412,76.116,76.152,85.77,70.428,76.824,100.5,103.176,92.028,105.96,106.932,102.552,93.438,83.148,66.426,105.75,79.398,81.264,72.372,73.272,74.958,500,高供高计,60,常青营业一班
2013/1/24,分表０１,无功功率,49.8,35.4,57,45.6,42.6,48,46.8,42,33.6,34.2,40.2,38.4,33,34.2,34.2,49.2,37.8,32.4,33,21.6,27.6,13.8,15.6,24,500,高供高计,60,常青营业一班
2013/1/25,分表０１,有功功率,78.78,76.956,70.758,78.438,79.308,71.148,79.506,88.896,95.436,79.206,84.906,70.854,83.592,86.478,77.928,90.12,91.14,93.204,79.422,81.354,85.632,81.312,85.05,96.636,500,高供高计,60,常青营业一班
2013/1/25,分表０１,无功功率,27,27,20.4,32.4,30,20.4,24.6,37.2,35.4,22.8,31.8,27.6,32.4,34.2,28.2,35.4,39.6,41.4,17.4,13.2,27.6,22.2,25.8,31.8,500,高供高计,60,常青营业一班
2013/1/26,分表０１,有功功率,80.184,81.054,91.83,80.646,84.57,93.984,82.068,80.886,77.43,82.47,70.242,80.586,96.18,110.13,69.6,73.578,80.79,90.354,95.67,78.828,76.452,89.94,89.874,81.294,500,高供高计,60,常青营业一班
2013/1/26,分表０１,无功功率,19.8,22.2,31.8,14.4,22.8,37.2,24.6,22.2,15,15.6,30,29.4,25.8,33.6,23.4,24,7.2,11.4,30,17.4,10.2,18.6,25.2,17.4,500,高供高计,60,常青营业一班
2013/1/27,分表０１,有功功率,98.292,82.488,89.394,86.724,88.512,99.078,84.324,86.238,79.764,76.758,1.266,1.434,1.278,1.278,1.872,1.872,1.362,2.376,1.818,2.436,2.934,2.382,6.276,4.68,500,高供高计,60,常青营业一班
2013/1/27,分表０１,无功功率,32.4,16.8,21.6,21.6,22.2,28.2,13.2,21,11.4,5.4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,500,高供高计,60,常青营业一班
2013/1/28,分表０１,有功功率,5.664,5.304,5.406,5.19,4.89,9.354,1.446,2.454,3.966,92.514,87.276,85.686,101.328,79.212,88.248,68.946,67.02,79.566,90.654,82.338,89.034,90.996,55.698,48.306,500,高供高计,60,常青营业一班
2013/1/28,分表０１,无功功率,3,3,3,3,3,3,0,0,0,31.8,33,44.4,31.8,33.6,39.6,38.4,34.2,40.8,13.2,9,22.2,25.8,27.6,31.2,500,高供高计,60,常青营业一班
2013/1/29,分表０１,有功功率,51.006,43.962,44.166,47.7,51.246,88.86,84.714,95.712,82.812,69.24,70.788,72.252,89.418,84.6,79.404,79.314,67.482,78.294,92.67,103.176,88.044,94.992,48.138,49.596,500,高供高计,60,常青营业一班
2013/1/29,分表０１,无功功率,33,28.8,30,34.2,35.4,19.8,19.8,29.4,8.4,26.4,29.4,36.6,37.2,31.2,35.4,37.8,36,21.6,21,30,19.2,19.8,30.6,28.8,500,高供高计,60,常青营业一班
2013/1/30,分表０１,有功功率,45.444,48.072,48.06,96.144,104.646,96.984,94.05,87.282,88.104,79.914,71.538,78.072,89.568,75.69,81.072,62.85,62.478,66.81,73.854,81.408,68.208,76.026,46.056,41.808,500,高供高计,60,常青营业一班
2013/1/30,分表０１,无功功率,25.2,30.6,30.6,12.6,24.6,21.6,25.8,22.8,9.6,32.4,34.8,32.4,27.6,29.4,33,27.6,26.4,28.2,16.8,22.8,15,25.2,24.6,24.6,500,高供高计,60,常青营业一班
2013/1/31,分表０１,有功功率,45.018,48.906,83.526,75.192,81.552,82.68,69.3,76.284,77.532,65.886,72.42,75.69,95.304,93.264,89.772,78.852,78.864,70.104,71.94,67.056,68.778,81.768,52.974,45.804,500,高供高计,60,常青营业一班
2013/1/31,分表０１,无功功率,30.6,36,27.6,16.8,30,27.6,16.8,21,11.4,22.8,29.4,29.4,33,35.4,41.4,39,35.4,28.8,21,21.6,22.2,36,38.4,29.4,500,高供高计,60,常青营业一班
2013/2/1,分表０１,有功功率,46.77,44.574,55.896,54.864,48.066,76.446,67.026,59.97,68.706,55.572,78.384,68.49,70.284,78.192,69.918,63.432,63.246,68.742,72.792,60.372,73.098,41.898,41.46,52.53,500,高供高计,60,常青营业一班
2013/2/1,分表０１,无功功率,36,36.6,30.6,41.4,34.2,26.4,20.4,17.4,23.4,25.8,29.4,31.8,28.2,33,30.6,28.2,29.4,36,22.8,16.2,24.6,25.2,24.6,37.2,500,高供高计,60,常青营业一班
2013/2/2,分表０１,有功功率,53.928,44.664,46.692,43.854,47.706,48.12,41.136,39.99,68.658,64.344,71.748,73.944,70.998,76.626,64.866,58.614,51.966,54.468,57.984,50.286,59.376,4.2,7.464,8.526,500,高供高计,60,常青营业一班
2013/2/2,分表０１,无功功率,33.6,29.4,34.2,30.6,36,34.8,30.6,27,16.8,25.2,33.6,40.8,34.2,29.4,36.6,29.4,22.2,19.2,30,19.8,21,0,3,3.6,500,高供高计,60,常青营业一班
2013/2/3,分表０１,有功功率,4.896,4.86,5.544,5.076,4.782,16.452,9.03,2.244,2.526,2.472,2.376,2.52,1.866,2.682,3.126,2.478,2.388,2.322,2.334,9.594,2.4,7.482,7.248,7.488,500,高供高计,60,常青营业一班
2013/2/3,分表０１,无功功率,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,500,高供高计,60,常青营业一班
2013/2/4,分表０１,有功功率,7.422,5.172,4.746,6.912,4.578,8.97,9.012,1.182,6.312,15.222,28.332,41.028,42.114,25.836,36.6,44.082,43.974,28.644,7.638,2.604,2.652,2.616,3.096,2.538,500,高供高计,60,常青营业一班
2013/2/4,分表０１,无功功率,3,3,3,3,3,3,3,0,0,1.2,3.6,6.6,6.6,2.4,6,12,5.4,1.8,0,0,0,0,0,0,500,高供高计,60,常青营业一班
2013/2/5,分表０１,有功功率,7.158,6.108,10.554,10.464,10.014,10.152,5.736,1.86,14.31,56.352,58.236,56.928,52.554,45.156,54.474,44.298,35.712,34.5,2.454,6.084,3.066,7.788,6.444,5.424,500,高供高计,60,常青营业一班
2013/2/5,分表０１,无功功率,3,2.4,3,3,2.4,3,3,0,0,11.4,11.4,11.4,9,6.6,10.8,7.2,6,4.2,0,3,0,3,3,3,500,高供高计,60,常青营业一班
2013/2/6,分表０１,有功功率,5.712,8.742,12.354,4.632,12.186,9.294,4.584,6.096,16.992,57.888,57.12,53.766,52.554,48.924,45.228,39.978,32.628,33.438,2.748,2.862,3.03,7.224,8.898,8.664,500,高供高计,60,常青营业一班
2013/2/6,分表０１,无功功率,3,6.6,6.6,3,3,3,3,3,3,8.4,16.2,9,9.6,6,8.4,8.4,8.4,7.8,0,0,0,3,3,3,500,高供高计,60,常青营业一班
2013/2/7,分表０１,有功功率,8.748,5.478,9.882,9.534,5.178,7.194,9.45,4.38,23.814,49.8,49.482,60.15,47.064,26.07,6.306,2.22,1.944,1.944,4.368,2.664,2.532,4.512,4.608,4.716,500,高供高计,60,常青营业一班
2013/2/7,分表０１,无功功率,3.6,3,3,3,3,3,3,0,0,9,8.4,8.4,6,1.8,0,0,0,0,0,0,0,0,0,0,500,高供高计,60,常青营业一班
2013/2/8,分表０１,有功功率,1.476,6.504,6.594,6.63,6.594,6.564,6.546,1.92,3.888,4.044,4.02,3.708,4.032,3.984,1.944,1.938,4.116,3.924,4.188,5.298,4.404,4.344,4.236,13.614,500,高供高计,60,常青营业一班
2013/2/8,分表０１,无功功率,0,3,3.6,3.6,3.6,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,500,高供高计,60,常青营业一班
2013/2/9,分表０１,有功功率,9.558,6.012,5.46,6.048,5.394,6.312,6.078,6.216,3.726,3.132,3.342,2.19,1.41,1.416,1.524,1.44,1.44,1.746,2.076,4.986,4.938,4.284,4.866,4.596,500,高供高计,60,常青营业一班
2013/2/9,分表０１,无功功率,3.6,3,3,3,2.4,3,3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,高供高计,60,常青营业一班
