数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/2/25,武汉金运激光股份有限公司,500,001086,60,5.2,1113.57,0,423.6,640.81,49.2
2013/2/26,武汉金运激光股份有限公司,500,001086,60,5.2,2014.22,0,521.99,889.19,603
2013/2/27,武汉金运激光股份有限公司,500,001086,60,5.2,2103.04,0,505.21,873.01,724.79
2013/2/28,武汉金运激光股份有限公司,500,001086,60,5.2,1786.17,0,481.18,619.19,685.81
2013/3/1,武汉金运激光股份有限公司,500,001086,60,5.2,852.59,0,351.61,481.81,19.19
2013/3/2,武汉金运激光股份有限公司,500,001086,60,5.2,1867.79,0,437.4,752.99,677.4
2013/3/3,武汉金运激光股份有限公司,500,001086,60,5.2,596.42,0,16.8,28.79,550.81
2013/3/4,武汉金运激光股份有限公司,500,001086,60,5.2,1063.76,0,380.39,637.21,46.18
2013/3/5,武汉金运激光股份有限公司,500,001086,60,5.2,1540.78,0,359.39,626.39,555
2013/3/6,武汉金运激光股份有限公司,500,001086,60,5.2,1530.64,0,358.81,635.39,536.41
2013/3/7,武汉金运激光股份有限公司,500,001086,60,5.2,950.39,0,269.39,455.42,225.6
2013/3/8,武汉金运激光股份有限公司,500,001086,60,5.2,1747.79,0,470.39,729.58,547.79
2013/3/9,武汉金运激光股份有限公司,500,001086,60,5.2,1784.41,0,424.2,723.6,636.61
2013/3/10,武汉金运激光股份有限公司,500,001086,60,5.2,422.99,0,13.79,21.59,387.59
2013/3/11,武汉金运激光股份有限公司,500,001086,60,5.2,1141.81,0,464.39,637.82,39.61
2013/3/12,武汉金运激光股份有限公司,500,001086,60,5.2,1971.56,0,473.39,797.99,700.19
2013/3/13,武汉金运激光股份有限公司,500,001086,60,5.2,1947.65,0,453.6,769.8,724.19
2013/3/14,武汉金运激光股份有限公司,500,001086,60,5.2,1804.8,0,438.6,754.19,612.01
2013/3/15,武汉金运激光股份有限公司,500,001086,60,5.2,1690.72,0,401.39,693.6,595.78
2013/3/16,武汉金运激光股份有限公司,500,001086,60,5.2,1595.45,0,402.59,683.99,508.79
2013/3/17,武汉金运激光股份有限公司,500,001086,60,5.2,485.98,0,15.6,23.41,447.01
2013/3/18,武汉金运激光股份有限公司,500,001086,60,5.2,1064.41,0,398.41,644.41,21.59
2013/3/19,武汉金运激光股份有限公司,500,001086,60,5.2,1898.96,0,473.99,823.79,601.2
2013/3/20,武汉金运激光股份有限公司,500,001086,60,5.2,2107.21,0,519.61,876.59,711
2013/3/21,武汉金运激光股份有限公司,500,001086,60,5.2,2137.26,0,535.19,904.8,697.21
2013/3/22,武汉金运激光股份有限公司,500,001086,60,5.2,2358.57,0,555.6,968.38,834.58
2013/3/23,武汉金运激光股份有限公司,500,001086,60,5.2,2345.98,0,540,977.4,828.6
2013/3/24,武汉金运激光股份有限公司,500,001086,60,5.2,579.61,0,18,31.81,529.8
2013/3/25,武汉金运激光股份有限公司,500,001086,60,5.2,994.8,0,255,691.78,48.01
2013/3/26,武汉金运激光股份有限公司,500,001086,60,5.2,2293.18,0,601.2,952.21,739.77
2013/3/27,武汉金运激光股份有限公司,500,001086,60,5.2,2334.02,0,560.99,928.21,844.8
2013/3/28,武汉金运激光股份有限公司,500,001086,60,5.2,2309.35,0,581.39,916.2,811.81
2013/3/29,武汉金运激光股份有限公司,500,001086,60,5.2,2310.05,0,565.81,921.59,822.59
2013/3/30,武汉金运激光股份有限公司,500,001086,60,5.2,1729.16,0,509.39,767.99,451.78
2013/3/31,武汉金运激光股份有限公司,500,001086,60,5.2,568.24,0,11.39,21,535.81
2013/4/1,武汉金运激光股份有限公司,500,001086,60,5.2,1201.81,0,474.59,691.78,35.39
2013/4/2,武汉金运激光股份有限公司,500,001086,60,5.2,2220,0,575.4,940.22,704.41
2013/4/3,武汉金运激光股份有限公司,500,001086,60,5.2,1328.32,0,125.4,391.78,811.2
2013/4/4,武汉金运激光股份有限公司,500,001086,60,5.2,32.46,0,6.59,12.01,13.79
2013/4/5,武汉金运激光股份有限公司,500,001086,60,5.2,54.55,0,19.8,25.19,9.58
2013/4/6,武汉金运激光股份有限公司,500,001086,60,5.2,248.44,0,71.99,133.18,43.21
2013/4/7,武汉金运激光股份有限公司,500,001086,60,5.2,1163.44,0,454.2,630.61,78.6
2013/4/8,武汉金运激光股份有限公司,500,001086,60,5.2,1904.88,0,484.19,831,589.8
2013/4/9,武汉金运激光股份有限公司,500,001086,60,5.2,1915.25,0,464.41,755.39,695.39
2013/4/10,武汉金运激光股份有限公司,500,001086,60,5.2,1910.39,0,502.19,756.59,651.59
2013/4/11,武汉金运激光股份有限公司,500,001086,60,5.2,2155.84,0,555.6,868.79,731.39
2013/4/12,武汉金运激光股份有限公司,500,001086,60,5.2,2181.62,0,543.6,841.2,796.81
2013/4/13,武汉金运激光股份有限公司,500,001086,60,5.2,2151.56,0,511.2,877.79,762.59
2013/4/14,武汉金运激光股份有限公司,500,001086,60,5.2,499.16,0,10.19,13.82,475.19
2013/4/15,武汉金运激光股份有限公司,500,001086,60,5.2,1041.03,0,436.2,583.18,21.59
2013/4/16,武汉金运激光股份有限公司,500,001086,60,5.2,2102.99,0,555.6,848.41,699.02
2013/4/17,武汉金运激光股份有限公司,500,001086,60,5.2,2213.38,0,580.19,881.39,751.78
2013/4/18,武汉金运激光股份有限公司,500,001086,60,5.2,2237.46,0,580.21,862.79,794.41
2013/4/19,武汉金运激光股份有限公司,500,001086,60,5.2,2030.98,0,510.58,711,809.38
2013/4/20,武汉金运激光股份有限公司,500,001086,60,5.2,1398.63,0,516,859.19,23.41
2013/4/21,武汉金运激光股份有限公司,500,001086,60,5.2,624.02,0,13.19,30,580.78
2013/4/22,武汉金运激光股份有限公司,500,001086,60,5.2,1229.94,0,484.8,720.61,24.61
2013/4/23,武汉金运激光股份有限公司,500,001086,60,5.2,1838.38,0,416.99,732.59,688.79
2013/4/24,武汉金运激光股份有限公司,500,001086,60,5.2,1821.03,0,429.59,728.99,662.4
2013/4/25,武汉金运激光股份有限公司,500,001086,60,5.2,2006.36,0,551.41,847.21,607.79
2013/4/26,武汉金运激光股份有限公司,500,001086,60,5.2,2083.24,0,509.39,808.18,765.61
2013/4/27,武汉金运激光股份有限公司,500,001086,60,5.2,1937.93,0,483.59,754.22,700.19
2013/4/28,武汉金运激光股份有限公司,500,001086,60,5.2,2024.47,0,539.41,797.4,687.59
2013/4/29,武汉金运激光股份有限公司,500,001086,60,5.2,1245.58,0,135,331.78,778.79
2013/4/30,武汉金运激光股份有限公司,500,001086,60,5.2,49.8,0,15,21.59,13.21
2013/5/1,武汉金运激光股份有限公司,500,001086,60,5.2,41.36,0,10.79,17.4,13.18
