hour,peak_flat_valley,real,pred
1,1,18588.055,18261.027
2,1,18027.652,18515.889
3,1,17237.936,18346.078
4,1,17468.148,18332.38
5,1,17206.29,18243.426
6,1,17988.598,18382.582
7,1,17987.975,18383.328
8,1,18069.15,18365.69
9,2,17330.006,17263.477
10,2,16031.758,16746.836
11,2,15497.257,16623.021
12,2,15884.704,16796.494
13,2,15730.954,16866.193
14,2,15408.32,16864.428
15,3,15545.835,16920.242
16,3,15550.47,17065.37
17,3,17017.383,17502.543
18,2,18075.314,17871.63
19,2,19306.346,18158.96
20,3,19261.361,18239.98
21,3,19247.312,18354.87
22,3,19914.951,18575.264
23,2,20141.756,18661.746
24,2,20019.885,18644.39
