month,date,hour,peak_flat_valley,power_num,price
5,8,9,2,10297.838,2538.417
5,8,10,2,9971.871,5402.76
5,8,11,2,10006.478,5421.51
5,8,12,2,10193.172,5522.661
5,8,13,2,11449.637,6203.413
5,8,14,2,11531.352,6247.687
5,8,15,3,10973.81,5945.611
5,8,16,3,11607.869,10009.465
5,8,17,3,11436.657,9861.829
5,8,18,2,12062.84,10401.787
5,8,19,2,12285.872,6656.485
5,8,20,3,11961.455,6480.716
5,8,21,3,11605.021,10007.01
5,8,22,3,11694.466,10084.138
5,8,23,2,11527.06,9939.784
5,8,24,2,11697.177,6337.53
5,9,1,1,11520.033,6241.554
5,9,2,1,11731.284,2891.762
5,9,3,1,11757.532,2898.232
5,9,4,1,11689.869,2881.553
5,9,5,1,11644.199,2870.295
5,9,6,1,11287.568,2782.386
5,9,7,1,11144.179,2747.04
5,9,8,1,9575.324,2360.317
5,9,9,2,9387.618,2314.048
5,9,10,2,8629.128,4675.262
5,9,11,2,8339.427,4518.302
5,9,12,2,7789.336,4220.262
5,9,13,2,8186.655,4435.529
5,9,14,2,8624.29,4672.64
5,9,15,3,9899.113,5363.34
5,9,16,3,10495.046,9049.878
5,9,17,3,11238.04,9690.562
5,9,18,2,11844.405,10213.43
5,9,19,2,12545.695,6797.257
5,9,20,3,12724.405,6894.083
5,9,21,3,12309.447,10614.436
5,9,22,3,12597.934,10863.198
5,9,23,2,12583.993,10851.177
5,9,24,2,12457.641,6749.55
5,10,1,1,12360.136,6696.722
5,10,2,1,12576.477,3100.102
5,10,3,1,12550.031,3093.583
5,10,4,1,12501.851,3081.706
5,10,5,1,12199.897,3007.275
5,10,6,1,12197.892,3006.78
5,10,7,1,12055.971,2971.797
5,10,8,1,11766.908,2900.543
5,10,9,2,11186.672,2757.515
5,10,10,2,10223.727,5539.215
5,10,11,2,9263.406,5018.914
5,10,12,2,9660.279,5233.939
5,10,13,2,10307.077,5584.374
5,10,14,2,11467.512,6213.098
5,10,15,3,12497.717,6771.263
5,10,16,3,12264.888,10576.013
5,10,17,3,12770.458,11011.966
5,10,18,2,13506.588,11646.731
5,10,19,2,13798.099,7475.81
