month,date,hour,peak_flat_valley,power_num,price,pred
8,20,1,1,18588.055,4581.956,5101.827
8,20,2,1,18027.653,4443.816,6363.7827
8,20,3,1,17237.935,4249.151,6923.9937
8,20,4,1,17468.148,4305.899,7302.8486
8,20,5,1,17206.29,4241.35,7512.8594
8,20,6,1,17988.597,4434.189,7705.783
8,20,7,1,17987.974,4434.036,7789.356
8,20,8,1,18069.151,4454.046,7840.5186
8,20,9,2,17330.006,9389.397,7656.315
8,20,10,2,16031.758,8686.006,7527.8022
8,20,11,2,15497.257,8396.414,7468.873
8,20,12,2,15884.704,8606.333,7513.0737
8,20,13,2,15730.954,8523.031,7497.394
8,20,14,2,15408.32,8348.228,7457.703
8,20,15,3,15545.835,13405.173,7252.756
8,20,16,3,15550.47,13409.17,7253.5527
8,20,17,3,17017.382,14674.088,7415.7124
8,20,18,2,18075.314,9793.205,7698.49
8,20,19,2,19306.346,10460.178,7792.095
8,20,20,3,19261.362,16609.073,7621.142
8,20,21,3,19247.313,16596.958,7608.914
8,20,22,3,19914.951,17172.662,7654.098
8,20,23,2,20141.756,10912.804,7809.536
8,20,24,2,20019.885,10846.773,7798.8145
