hour,peak_flat_valley,real,pred
1,1,15855.191,16232.682
2,1,16233.839,16555.373
3,1,17986.838,17451.299
4,1,17787.78,17886.205
5,1,17410.945,17909.086
6,1,17448.857,17791.55
7,1,18109.389,17797.225
8,1,17361.377,17527.871
9,2,16430.568,16763.178
10,2,15564.293,15974.528
11,2,15132.563,15401.123
12,2,15013.135,15166.194
13,2,15811.375,15431.717
14,2,15748.676,15602.939
15,3,16268.686,15952.457
16,3,16102.928,16138.289
17,3,17473.137,16783.143
18,2,17895.193,17340.02
19,2,18186.816,17761.225
20,3,17892.443,17789.53
21,3,17527.674,17669.738
22,3,16998.297,17384.84
23,2,16242.449,16969.594
24,2,16357.925,16748.25
