real,pred
5552.765,5425.5404391595075
6977.428,6871.937995903045
9924.878,10070.585207742473
11370.836,11352.382460322999
11677.382,11577.105811127505
10724.007,10820.65996963316
9407.173,9541.105794148614
10901.616,10974.009612476802
10615.031,10723.98821417032
9241.109,9365.615101915471
6741.452,6618.344176962288
6699.819,6574.0469650319765
5849.98,5707.627066682221
4297.556,4393.526650552719
3985.1987,4183.099879806881
3720.3188,4020.6936556758833
3352.665,3820.5314134763457
3198.551,3745.55767035654
3087.511,3694.8751000899642
3308.087,3798.317013254216
3248.676,3769.3745504339386
3103.76,3702.113573045956
3059.92,3682.6995206433876
3281.08,3785.05469013739
3249.281,3769.657122868693
4780.648,4757.24462317857
8401.331,8449.465723315354
11605.523,11526.089701162098
12161.561,11893.131029916816
11489.484,11441.545488561356
10112.75,10255.000139545376
11811.316,11669.395016847371
11629.996,11543.579105293624
11668.462,11570.825947238498
12007.447,11797.867340435574
11574.163,11503.502044207047
11625.599,11540.443145161978
11262.184,11268.359736606892
11203.038,11221.692461437431
9809.002,9954.644285372631
9451.872,9587.909854543592
7852.9976,7838.197916753457
5784.283,5644.223439559568
5790.951,5650.631736659709
5653.791,5520.021906646821
5449.755,5330.769445601786
5222.272,5127.343350174413
5540.044,5413.747549655084
5465.179,5344.853180474559
6964.5234,6857.962488629626
10137.104,10278.566242646348
11936.42,11752.26632842181
12324.0,11988.011097150431
11629.981,11543.56552247379
10358.854,10489.402609039102
12374.289,12016.22200395546
12642.235,12157.123934700858
12584.548,12128.135313578141
12961.811,12304.15353161062
11805.976,11665.779734221931
11170.104,11195.42433737134
11027.666,11079.55104130344
11020.35,11073.499932164828
9750.829,9895.845431616863
8985.447,9091.099154544323
7691.923,7658.6280531713965
5632.02,5499.537307170694
5884.387,5741.080202642023
5953.374,5808.599376324898
5632.835,5500.298138019618
5584.965,5455.488298496407
5796.395,5655.861877238842
5725.396,5587.870626389098
7323.8594,7250.631082131643
10173.04,10313.195753224862
12151.331,11886.957483903614
12452.621,12059.054071681025
11515.813,11460.95422729124
10505.808,10625.192531860075
12194.973,11913.106859620533
12359.912,12008.209538763933
12597.566,12134.738390404596
12792.792,12229.259885282752
12145.057,11883.16314924504
11556.064,11490.370550938813
11000.513,11057.04567421613
10736.719,10831.796595535174
10076.072,10219.343713949449
9717.823,9862.311500152478
8247.673,8278.53925816464
5349.936,5240.494175092582
5659.903,5525.7832370432625
5643.019,5509.873582979771
5268.719,5168.2014895374605
5307.279,5202.3878820019745
5704.964,5568.433727951338
5579.659,5450.538242304124
7161.3306,7072.145826067641
10263.7,10399.774025371118
11971.832,11775.12531311103
12397.092,12028.823212350635
11846.523,11693.03517208219
10500.889,10620.6965883451
12520.757,12095.209111614935
12912.624,12283.020840643601
12835.394,12248.74241538207
12836.281,12249.143614516881
11822.745,11677.08793705769
11540.134,11478.761569387243
10952.957,11017.319770112768
10633.174,10740.198113642304
10223.724,10361.731640409962
9667.231,9810.679003451303
8271.596,8305.179793889165
5767.236,5627.858172135016
5964.02,5819.071447984937
5871.02,5728.063777808449
5638.737,5505.842167623408
5493.176,5370.514756966627
5856.816,5714.259594396008
5923.148,5778.9311547118905
7434.6294,7372.944676037099
10346.545,10477.873207374414
12330.87,11991.885815267115
12749.665,12209.109098257339
11759.421,11634.053884580011
10796.073,10883.504854871686
12692.765,12181.891864338839
12791.34,12228.581293752186
12564.547,12117.89968986922
12691.413,12181.235509434075
12206.044,11919.665833177492
12039.785,11818.259063833504
11305.803,11302.342404937619
10881.603,10956.975447902501
10478.181,10599.90047418226
9657.579,9800.793858337773
8357.037,8400.23713763685
5915.475,5771.42733713552
6191.402,6046.108521736475
6137.379,5991.606535737958
5816.267,5675.01291494195
5653.74,5519.964240993739
6036.099,5890.355745680955
6044.185,5898.392395877323
7331.6587,7259.2203269268375
9991.518,10136.49622859466
12097.408,11854.072057329904
12815.622,12239.74191256054
11961.23,11768.29969899212
10919.061,10988.761541360249
12539.435,12104.933230833367
11566.917,11498.238457785314
10488.702,10609.542524720446
11413.981,11385.098984392282
11505.628,11453.446084470543
11791.191,11655.739908090423
11416.151,11386.733943379473
11423.447,11392.230753313768
10603.999,10714.070352213039
10105.7,10248.140427603468
8146.567,8165.826722482698
5424.068,5307.386350157162
5656.927,5522.971377573079
5776.821,5637.04533944946
5491.112,5368.61716357174
5377.016,5264.8200021525145
5465.089,5344.763796037407
5362.383,5251.651790986018
6734.885,6611.338397964151
9386.421,9519.289164345459
11206.527,11224.445650741529
11652.407,11559.46770014489
11011.936,11066.516254377124
10592.833,10704.039243001855
11873.934,11711.259032539965
10683.938,10785.314409796401
9315.769,9444.788634509761
7165.376,7076.55979019115
6348.504,6206.44233472406
6104.951,5959.040684940166
5027.055,4959.531910695273
4674.901,4673.795094881546
4266.205,4371.494861296943
4123.995,4274.111389797782
3878.6472,4115.960929591654
3656.166,3983.6436542893366
3945.6482,4157.911992694211
3887.4224,4121.415549158169
3734.06,4028.7553237081265
3604.1868,3954.2622176348978
3905.281,4132.526611106247
3797.473,4066.4500694104736
4988.577,4927.237387409359
6452.327,6313.84964940843
7492.367,7436.87681730752
7959.527,7957.08343622202
7101.0225,7006.255276169562
6257.527,6113.255629624009
7976.5205,7976.052735573482
8446.616,8499.699676586919
8051.819,8060.103836753785
8308.455,8346.201347844148
8556.076,8620.896827700812
9971.211,10116.45467239932
9721.315,9865.850838235496
9735.93,9880.705798946368
9545.961,9685.797418784066
8568.019,8634.09099261703
7420.7583,7357.58775540811
5327.596,5220.577438199732
5456.738,5337.214810475214
5457.135,5337.575689489942
5295.301,5191.816241097679
5208.172,5115.078987625115
5377.234,5265.091665078629
5322.434,5215.960300627093
6968.768,6862.620924907728
9701.504,9845.753359858418
12141.791,11881.24114785639
12522.213,12096.027808663874
11884.291,11718.179886181299
10562.213,10676.498129620972
12375.831,12017.128414605595
12706.702,12188.686927804047
12775.028,12221.067238028227
13052.319,12341.63813805136
12259.229,11950.911709365571
12139.801,11880.032884660475
11594.16,11517.973555176668
11492.937,11444.143174359071
10282.995,10418.10826281709
9429.347,9564.396671933097
8001.86,8004.409966584365
5154.267,5068.234486894557
5325.821,5218.9865725259
