real,pred
5552.765,5568.369490656252
6977.428,6949.10819439903
9924.878,9862.672487572943
11370.836,11401.25099084997
11677.382,11696.212128061134
10724.007,10759.765613619882
9407.173,9370.140944559515
10901.616,10838.043753027294
10615.031,10566.661950648044
9241.109,9216.461387519803
6741.452,6718.370351415091
6699.819,6687.05477126861
5849.98,5852.910478551611
4297.556,4299.897889818531
3985.1987,4013.197191307506
3720.3188,3779.470910368866
3352.665,3548.548079437482
3198.551,3454.893089277676
3087.511,3135.7066070398414
3308.087,3353.295920555267
3248.676,3299.0037087311403
3103.76,3160.8741331186056
3059.92,3122.683745843561
3281.08,3347.810601186004
3249.281,3325.755016345196
4780.648,4843.391379579769
8401.331,8388.631865062645
11605.523,11628.893318036466
12161.561,12162.72469964318
11489.484,11512.323952194314
10112.75,10068.883596894679
11811.316,11715.150151859094
11629.996,11553.030440719984
11668.462,11599.91700293448
12007.447,11935.580061433842
11574.163,11525.128074200315
11625.599,11581.582132300207
11262.184,11227.885443764924
11203.038,11157.765348034762
9809.002,9767.490410354842
9451.872,9481.23251197752
7852.9976,7936.347681500156
5784.283,5711.737505912196
5790.951,5735.920557060521
5653.791,5622.764943368443
5449.755,5443.552402093621
5222.272,5239.405432822125
5540.044,5559.887255387931
5465.179,5503.611816177025
6964.5234,6958.058733613661
10137.104,10076.986716117932
11936.42,11946.358680188398
12324.0,12317.338622303632
11629.981,11649.753954443257
10358.854,10313.977608294617
12374.289,12249.083851429164
12642.235,12515.80166455961
12584.548,12475.074595274602
12961.811,12844.088233286891
11805.976,11749.79083972263
11170.104,11139.317470971984
11027.666,10994.02708666684
11020.35,10974.82839303264
9750.829,9710.188469383254
8985.447,9028.484767253922
7691.923,7785.671841712802
5632.02,5570.370930151125
5884.387,5826.859349733183
5953.374,5910.855257122314
5632.835,5624.613467848339
5584.965,5595.536057133799
5796.395,5815.247069497294
5725.396,5765.078176014348
7323.8594,7308.718508512453
10173.04,10116.978699928919
12151.331,12150.552143255552
12452.621,12438.622007766351
11515.813,11539.976084172007
10505.808,10461.805756822594
12194.973,12081.618459624751
12359.912,12250.26414659917
12597.566,12486.987401855766
12792.792,12682.895270619905
12145.057,12075.73518260007
11556.064,11514.697064106329
11000.513,10965.937922583387
10736.719,10693.401450484485
10076.072,10031.046644279118
9717.823,9745.012931553465
8247.673,8329.67328159289
5349.936,5306.895229803453
5659.903,5619.010361931645
5643.019,5622.4467716846875
5268.719,5283.441515323224
5307.279,5337.32474871004
5704.964,5737.192416857925
5579.659,5635.605131363103
7161.3306,7167.004329528471
10263.7,10208.85013394946
11971.832,11980.263755916116
12397.092,12384.942680425464
11846.523,11859.746870939718
10500.889,10462.938343173228
12520.757,12387.888056461325
12912.624,12768.077765891476
12835.394,12710.134743334513
12836.281,12722.741824206143
11822.745,11767.292895733834
11540.134,11500.25041231318
10952.957,10918.066737545607
10633.174,10590.515418937533
10223.724,10175.926431082458
9667.231,9698.637671661136
8271.596,8358.404344873812
5767.236,5701.019417653105
5964.02,5908.855482308933
