hour,peak_flat_valley,real,pred
1,1,5203.539,5259.431538
2,1,5297.929,5368.920343
3,1,5232.067,5297.235924
4,1,5039.847,5102.128345
5,1,4952.389,5014.863363
6,1,5171.927,5236.270941
7,1,5076.848,5139.406914
8,1,6469.8,6540.18185
9,2,9349.493,9415.462177
10,3,10988.651,11047.64873
11,3,11334.543,11387.51739
12,3,10618.341,10667.57235
13,2,9189.906,9239.147694
14,2,11387.305,11440.60465
15,2,10807.901,10866.54903
16,2,9793.275,9850.346754
17,2,10322.132,10381.24721
18,2,11193.499,11244.64377
19,2,10953.7,11005.515
20,3,10111.207,10164.26556
21,3,10005.235,10059.70465
22,3,9447.686,9503.474352
23,2,9241.925,9299.003413
24,2,7641.957,7698.291171
