month,date,hour,peak_flat_valley,power_num,price
5,4,11,3,10544.614,11505.228
5,4,12,3,10027.989,10941.539
5,4,13,2,8559.697,9339.486
5,4,14,2,10057.667,6844.242
5,4,15,2,10388.057,7069.073
5,4,16,2,10125.348,6890.299
5,4,17,2,10584.156,7202.518
5,4,18,2,9981.06,6792.111
5,4,19,2,10053.467,6841.384
5,4,20,3,10161.772,6915.086
5,4,21,3,10113.325,11034.649
5,4,22,3,9491.041,10355.675
5,4,23,2,9192.688,10030.142
5,4,24,2,8166.933,5557.598
5,5,1,1,6313.877,4296.594
5,5,2,1,6569.355,2395.844
5,5,3,1,6273.019,2287.77
5,5,4,1,6224.58,2270.104
5,5,5,1,6171.217,2250.643
5,5,6,1,6497.611,2369.679
5,5,7,1,6342.528,2313.12
5,5,8,1,6864.412,2503.451
5,5,9,2,9049.619,3300.396
5,5,10,3,10441.28,7105.291
5,5,11,3,10501.101,11457.752
5,5,12,3,10513.221,11470.976
5,5,13,2,9786.628,10678.19
5,5,14,2,11285.232,7679.6
5,5,15,2,11259.75,7662.26
5,5,16,2,11207.441,7626.664
5,5,17,2,11506.84,7830.405
5,5,18,2,11043.369,7515.013
5,5,19,2,10937.564,7443.012
5,5,20,3,10652.281,7248.878
5,5,21,3,10437.528,11388.387
5,5,22,3,9940.73,10846.331
5,5,23,2,9680.11,10561.968
5,5,24,2,8264.681,5624.116
5,6,1,1,6413.211,4364.19
5,6,2,1,6570.965,2396.431
5,6,3,1,6570.493,2396.259
5,6,4,1,6337.083,2311.134
5,6,5,1,6422.098,2342.139
5,6,6,1,6522.513,2378.76
5,6,7,1,6521.283,2378.312
5,6,8,1,7564.367,2758.725
5,6,9,2,9947.46,3627.839
5,6,10,3,11196.749,7619.388
5,6,11,3,11507.046,12555.338
5,6,12,3,11196.344,12216.331
5,6,13,2,9669.336,10550.213
5,6,14,2,11564.309,7869.513
5,6,15,2,10889.751,7410.475
5,6,16,2,10178.537,6926.495
5,6,17,2,10303.297,7011.394
5,6,18,2,10647.575,7245.675
5,6,19,2,10879,7403.16
5,6,20,3,10870.216,7397.182
5,6,21,3,10921.558,11916.512
5,6,22,3,10153.072,11078.016
5,6,23,2,9914.12,10817.296
5,6,24,2,8694.565,5916.652
5,7,1,1,6667.316,4537.109
5,7,2,1,6645.652,2423.669
5,7,3,1,6441.783,2349.318
5,7,4,1,6234.823,2273.84
5,7,5,1,6202.74,2262.139
5,7,6,1,6291.991,2294.689
5,7,7,1,6469.416,2359.396
5,7,8,1,7361.702,2684.813
5,7,9,2,9778.916,3566.371
5,7,10,3,11667.205,7939.533
5,7,11,3,11679.465,12743.464
5,7,12,3,11213.288,12234.819
5,7,13,2,9258.259,10101.686
5,7,14,2,11070.78,7533.666
5,7,15,2,10246.895,6973.012
5,7,16,2,8639.325,5879.061
5,7,17,2,5421.071,3689.039
5,7,18,2,5339.009,3633.196
5,7,19,2,5095.941,3467.788
5,7,20,3,3588.324,2441.854
5,7,21,3,3202.339,3494.072
5,7,22,3,3374.184,3681.572
5,7,23,2,3399.585,3709.288
5,7,24,2,3189.988,2170.787
5,8,1,1,2994.936,2038.054
5,8,2,1,3240.891,1181.953
5,8,3,1,3256.962,1187.814
5,8,4,1,3064.263,1117.537
5,8,5,1,3065.807,1118.1
5,8,6,1,3217.325,1173.359
5,8,7,1,3233.603,1179.295
5,8,8,1,4362.632,1591.052
5,8,9,2,7341.245,2677.352
5,8,10,3,10425.143,7094.31
5,8,11,3,10812.443,11797.457
5,8,12,3,9895.246,10796.703
5,8,13,2,8629.011,9415.113
5,8,14,2,10623.868,7229.542
5,8,15,2,11285.436,7679.739
5,8,16,2,11202.359,7623.205
5,8,17,2,11244.451,7651.849
5,8,18,2,10651.687,7248.473
5,8,19,2,10382.016,7064.962
5,8,20,3,10581.531,7200.732
5,8,21,3,10397.69,11344.919
5,8,22,3,9241.33,10083.216
5,8,23,2,8753.307,9550.733
5,8,24,2,7836.02,5332.412
5,9,1,1,5815.444,3957.41
5,9,2,1,5869.224,2140.506
5,9,3,1,5827.261,2125.202
5,9,4,1,5582.728,2036.021
5,9,5,1,5662.468,2065.102
5,9,6,1,5876.163,2143.037
5,9,7,1,5760.265,2100.769
5,9,8,1,6576.472,2398.439
5,9,9,2,8663.794,3159.686
5,9,10,3,10061.831,6847.076
5,9,11,3,10598.049,11563.532
5,9,12,3,10138.069,11061.647
5,9,13,2,8738.571,9534.655
5,9,14,2,10442.1,7105.849
5,9,15,2,11142.776,7582.659
5,9,16,2,11012.845,7494.241
5,9,17,2,11184.412,7610.992
5,9,18,2,10192.676,6936.116
5,9,19,2,10412.576,7085.758
5,9,20,3,11186.549,7612.447
5,9,21,3,11221.143,12243.389
5,9,22,3,10396.585,11343.714
5,9,23,2,9511.891,10378.424
5,9,24,2,8437.948,5742.024
5,10,1,1,6794.141,4623.413
5,10,2,1,6527.103,2380.435
5,10,3,1,6493.974,2368.352
5,10,4,1,6369.104,2322.812
5,10,5,1,6291.063,2294.351
5,10,6,1,6345.972,2314.376
5,10,7,1,6371.882,2323.826
5,10,8,1,7352.784,2681.56
5,10,9,2,10009.106,3650.321
5,10,10,3,11468.253,7804.146
5,10,11,3,11636.936,12697.061
5,10,12,3,10887.729,11879.601
5,10,13,2,9501.087,10366.636
5,10,14,2,11212.321,7629.985
5,10,15,2,11383.806,7746.68
5,10,16,2,11087.867,7545.293
5,10,17,2,11391.032,7751.597
5,10,18,2,10767.923,7327.571
5,10,19,2,10968.436,7464.021
5,10,20,3,11079.881,7539.859
5,10,21,3,10967.567,11966.712
5,10,22,3,10194.764,11123.507
5,10,23,2,9394.619,10250.468
5,10,24,2,8548.828,5817.477
5,11,1,1,6735.475,4583.491
5,11,2,1,6755.208,2463.624
5,11,3,1,6646.091,2423.83
5,11,4,1,6409.925,2337.7
5,11,5,1,6272.641,2287.632
5,11,6,1,6422.946,2342.448
5,11,7,1,6414.811,2339.482
5,11,8,1,7537.245,2748.833
5,11,9,2,9326.089,3401.225
