数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,在线情况,总,尖,峰,平,谷
2013/4/29,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,360,0,119.94,180,59.94
2013/4/30,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,257.76,0,90,95.94,71.94
2013/5/1,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,186,0,59.94,83.88,42
2013/5/2,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,977.88,0,258,666.06,54
2013/5/3,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1050,0,240,725.94,84
2013/5/4,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1350,0,341.94,924,83.94
2013/5/5,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,282.12,0,71.94,156,54
2013/5/6,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,612,0,125.94,431.94,53.94
2013/5/7,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,834.06,0,264,498,71.94
2013/5/8,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,953.88,0,197.94,695.94,60
2013/5/9,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1043.82,0,312,660,71.94
2013/5/10,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1062,0,330,665.88,65.94
2013/5/11,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,396.06,0,156,162,78
2013/5/12,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,282.12,0,71.94,156,54
2013/5/13,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1200,0,323.94,804,71.94
2013/5/14,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1157.76,0,390,683.88,84
2013/5/15,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1325.94,0,408,828.06,89.94
2013/5/16,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1475.94,0,515.94,893.94,65.94
2013/5/17,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,912,0,300,551.94,60
2013/5/18,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,234.06,0,59.94,113.94,59.94
2013/5/19,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,215.88,0,65.94,96.06,54
2013/5/20,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,744.12,0,312,359.88,71.94
2013/5/21,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1739.94,0,443.94,1224,71.94
