数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/2/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,303.28,0,0,0,0
2013/2/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,909.53,0,0,0,0
2013/2/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1057.66,0,0,0,0
2013/2/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,121.64,0,0,0,0
2013/2/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,923.12,0,0,0,0
2013/3/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1102.42,0,0,0,0
2013/3/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,250.38,0,0,0,0
2013/3/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,264.84,0,0,0,0
2013/3/4,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,934.37,0,0,0,0
2013/3/5,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,659.22,0,0,0,0
2013/3/6,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,604.76,0,0,0,0
2013/3/7,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,483.2,0,0,0,0
2013/3/8,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,353.59,0,0,0,0
2013/3/9,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,299.22,0,0,0,0
2013/3/10,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,286.33,0,0,0,0
2013/3/11,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,882.42,0,0,0,0
2013/3/12,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,776.01,0,0,0,0
2013/3/13,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,864.84,0,0,0,0
2013/3/14,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,753.51,0,0,0,0
2013/3/15,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,387.26,0,0,0,0
2013/3/16,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,287.18,0,0,0,0
2013/3/17,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,271.25,0,0,0,0
