hour,Peak_flat_valley,electric_charge,electric_charge
7,1,12055.971,2971.797
8,1,11766.908,2900.543
9,2,11186.672,2757.515
10,2,10223.727,5539.215
11,2,9263.406,5018.914
12,2,9660.279,5233.939
13,2,10307.077,5584.374
14,2,11467.512,6213.098
15,3,12497.717,6771.263
16,3,12264.888,10576.013
17,3,12770.458,11011.966
18,2,13506.588,11646.731
19,2,13798.099,7475.81
20,3,14063.272,7619.481
21,3,13979.594,12054.604
22,3,13739.162,11847.279
23,2,14136.193,12189.639
24,2,13938.901,7552.097
1,1,13564.519,7349.256
2,1,12602.527,3106.523
3,1,12636.88,3114.991
4,1,12771.001,3148.052
5,1,13396.729,3302.294
6,1,14028.449,3458.013
7,1,14061.694,3466.208
8,1,13134.141,3237.566
9,2,12473.337,3074.678
10,2,10974.385,5945.922
11,2,10937.214,5925.783
12,2,11310.479,6128.018
13,2,11410.596,6182.261
14,2,10330.623,5597.131
15,3,11394.98,6173.8
16,3,11675.296,10067.608
17,3,12625.396,10886.879
18,2,13743.186,11850.75
19,2,14181.541,7683.559
20,3,14050.031,7612.307
21,3,14214.417,12257.092
22,3,14079.687,12140.914
23,2,14058.132,12122.327
24,2,14258.797,7725.416
1,1,14089.278,7633.571
2,1,14171.218,3493.205
3,1,13960.862,3441.353
4,1,14422.944,3555.256
5,1,13904.778,3427.528
6,1,13984.404,3447.156
7,1,14047.409,3462.686
8,1,14031.449,3458.752
9,2,13387.915,3300.121
10,2,13186.229,7144.299
11,2,12350.698,6691.608
12,2,12077.293,6543.477
13,2,10907.427,5909.644
14,2,11438.977,6197.638
15,3,11999.179,6501.155
16,3,11168.515,9630.61
17,3,10498.157,9052.561
18,2,11030.872,9511.921
19,2,11643.208,6308.29
20,3,11414.139,6184.181
21,3,11605.906,10007.772
22,3,11525.703,9938.614
23,2,11928.373,10285.836
24,2,12309.131,6669.087
1,1,12248.564,6636.272
2,1,12832.234,3163.146
3,1,12712.172,3133.55
4,1,12454.84,3070.118
5,1,12752.145,3143.404
6,1,12799.769,3155.143
7,1,12246.79,3018.834
8,1,11293.832,2783.93
9,2,11538.22,2844.171
10,2,12595.866,6824.44
11,2,12595.536,6824.262
12,2,12729.673,6896.937
13,2,12779.085,6923.708
14,2,13854.297,7506.258
15,3,13736.886,7442.645
16,3,14122.59,12177.909
17,3,14607.74,12596.255
18,2,15323.407,13213.374
19,2,15136.39,8200.896
20,3,15105.409,8184.111
21,3,14879.807,12830.857
22,3,15503.819,13368.943
23,2,15614.93,13464.754
24,2,15949.047,8641.194
1,1,15351.853,8317.634
2,1,15746.061,3881.404
3,1,15662.296,3860.756
4,1,16018.318,3948.515
5,1,14897.189,3672.157
6,1,14173.541,3493.778
7,1,14454.224,3562.966
8,1,13667.88,3369.132
9,2,13238.306,3263.242
10,2,13064.853,7078.538
11,2,12088.442,6549.518
12,2,12544.513,6796.617
13,2,13044.751,7067.646
14,2,14141.166,7661.684
15,3,13385.326,7252.17
16,3,13831.436,11926.847
17,3,14879.268,12830.393
18,2,15075.029,12999.197
19,2,15504.987,8400.602
20,3,15498.32,8396.99
21,3,15057.374,12983.974
22,3,14739.73,12710.069
23,2,15252.908,13152.582
24,2,15123.598,8193.965
1,1,14720.809,7975.734
2,1,13996.07,3450.031
3,1,13293.695,3276.896
4,1,13706.673,3378.695
5,1,13657.741,3366.633
6,1,14653.868,3612.178
7,1,14401.251,3549.908
8,1,14138.247,3485.078
9,2,13902.141,3426.878
10,2,13166.082,7133.383
11,2,12900.6,6989.545
12,2,13090.106,7092.219
13,2,13726.613,7437.079
14,2,14399.594,7801.7
15,3,14214.147,7701.225
16,3,14412.924,12428.264
17,3,14865.899,12818.865
18,2,15238.026,13139.75
19,2,15558.843,8429.781
20,3,15603.498,8453.975
21,3,15554.914,13413.002
22,3,13958.775,12036.652
23,2,13423.928,11575.453
24,2,13838.542,7497.722
1,1,14038.914,7606.284
2,1,14755.783,3637.301
3,1,15327.043,3778.116
4,1,14992.535,3695.66
5,1,15145.922,3733.47
6,1,14916.425,3676.899
7,1,14651.22,3611.526
8,1,13799.669,3401.618
9,2,14132.742,3483.721
10,2,13245.603,7176.468
11,2,12175.811,6596.855
12,2,11939.753,6468.958
13,2,11923.595,6460.204
14,2,12431.884,6735.595
15,3,12970.256,7027.285
16,3,12357.883,10656.202
17,3,13003.303,11212.748
18,2,13762.759,11867.627
19,2,14677.591,7952.319
20,3,13312.426,7212.673
21,3,13141.75,11332.131
22,3,13501.933,11642.717
23,2,13021.083,11228.08
24,2,12537.27,6792.693
1,1,12718.741,6891.014
2,1,12711.201,3133.311
3,1,12844.563,3166.185
4,1,13389.246,3300.449
5,1,12878.932,3174.657
6,1,12760.697,3145.512
7,1,12612.594,3109.004
8,1,11359.484,2800.113
9,2,11404.266,2811.152
10,2,10733.694,5815.515
11,2,10966.212,5941.494
12,2,10876.565,5892.923
13,2,10862.768,5885.448
14,2,10315.263,5588.81
15,3,10553.735,5718.014
16,3,11473.705,9893.776
17,3,11646.022,10042.364
18,2,13749.987,11856.614
19,2,14647.999,7936.286
20,3,14509.688,7861.349
21,3,14175.614,12223.632
22,3,14570.42,12564.073
23,2,14866.781,12819.625
24,2,14862.991,8052.769
1,1,14606.678,7913.898
2,1,14659.054,3613.457
3,1,13889.582,3423.782
4,1,14299.554,3524.84
5,1,14771.888,3641.27
6,1,15178.188,3741.423
7,1,14864.787,3664.17
8,1,14613.668,3602.269
9,2,14076.16,3469.774
10,2,14625.441,7924.064
11,2,14357.347,7778.811
12,2,13488.183,7307.898
13,2,14122.917,7651.796
