数据日期,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,综合倍率
2015/4/12,无功功率,-46.68,-46.44,-46.2,-30.96,-45.96,-46.2,-45.72,-45.6,-30.72,-44.4,-44.28,-45.24,-29.76,-44.88,3.12,3.72,4.2,18.12,2.76,2.04,2.04,2.04,16.32,18.12,1000,1200
2015/4/13,有功功率,8.64,8.4,12.12,31.2,17.88,9.6,38.88,20.52,39.72,78.12,107.04,77.76,63,72.24,90.24,78.48,111.96,38.4,56.4,28.32,33,46.32,48.24,37.2,1000,1200
2015/4/13,无功功率,2.28,2.04,2.64,17.4,2.28,2.28,2.88,3.84,24.12,24.84,41.04,35.28,-28.32,12.48,31.92,18.24,19.68,-33.96,-20.4,-41.76,-36.24,-24.48,-30,-29.64,1000,1200
2015/4/14,有功功率,9.84,22.44,34.92,37.92,9.12,9.36,32.52,18,47.64,105.12,129.6,127.56,40.08,96.36,80.88,104.76,88.2,26.04,30.72,66,55.2,47.16,39.48,36.72,1000,1200
2015/4/14,无功功率,-45.24,-45.36,-30.12,-30.24,-45.24,-45.12,-45.6,-45.48,-28.8,18.36,44.4,2.64,-52.92,6,1.2,23.52,13.8,-39.12,-21.12,-9.24,-39.48,-37.44,-30,-30.84,1000,1200
2015/4/15,有功功率,12.84,9.6,44.76,33.48,9.24,9.24,32.04,21.12,45.72,70.2,84.6,81.12,29.28,66.12,53.28,88.2,95.4,19.68,40.08,72.84,58.8,39.24,60.12,36,1000,1200
2015/4/15,无功功率,-46.2,-46.08,-30.84,-30.24,-46.2,-46.32,-46.08,2.88,18.6,24.48,26.64,20.28,16.56,39.36,58.08,65.4,103.8,2.04,29.28,25.44,6.72,1.2,7.68,17.52,1000,1200
2015/4/16,有功功率,11.88,9,8.88,43.08,53.64,23.16,26.64,26.64,18.6,121.56,107.76,72.84,50.52,49.56,98.04,122.4,65.28,52.92,39.84,47.52,52.68,45.24,26.28,25.2,1000,1200
2015/4/16,无功功率,1.92,1.92,1.68,16.32,16.8,1.8,1.68,1.68,3.36,19.92,2.4,16.56,11.88,49.92,94.32,71.88,45.48,12.24,19.56,27.48,22.68,17.4,8.16,8.64,1000,1200
2015/4/17,有功功率,32.4,9.72,12.96,9.36,9.6,35.64,12.96,20.52,22.68,70.2,88.44,42.24,30.12,46.8,66.36,66.12,83.04,18.36,27.84,25.2,55.2,41.28,17.76,18.12,1000,1200
2015/4/17,无功功率,17.04,2.28,2.28,1.92,,17.64,1.92,2.64,2.64,8.88,19.32,7.08,12.6,49.44,13.8,-2.76,-13.32,-43.68,-37.08,-36.72,-24,-30.72,-45.6,-45.24,1000,1200
2015/4/18,有功功率,13.68,37.08,9.48,12.24,29.28,19.68,9.12,15.12,62.64,82.08,58.92,72.96,47.76,32.64,96.36,53.76,68.4,23.16,30.48,41.76,15.24,16.44,19.44,16.2,1000,1200
2015/4/18,无功功率,-45.24,-30.96,-46.68,-45.12,-46.68,-46.68,2.28,2.04,18.72,53.04,10.68,20.04,-32.52,-8.88,0.84,6.12,1.56,-12.96,-19.08,-4.08,-22.2,-21.48,-22.2,-22.08,1000,1200
2015/4/19,有功功率,22.44,9.6,9.36,11.04,32.28,8.88,14.76,32.16,17.28,23.4,24.72,16.2,10.92,14.88,41.4,36.36,21.72,15.6,25.44,47.52,19.32,30.6,15.12,40.92,1000,1200
2015/4/19,无功功率,-21.36,-21.84,-21.6,-21.84,17.88,2.16,3.48,2.28,3.12,10.92,4.8,4.08,3.96,3.96,18.72,5.88,4.8,4.2,2.16,17.76,2.64,2.64,1.56,20.04,1000,1200
2015/4/20,有功功率,32.76,14.28,9.12,8.64,8.76,42.24,18.96,25.08,30.48,83.52,126.36,81.84,38.52,62.04,91.44,97.32,81.12,38.04,30.96,33.48,39.6,15,17.16,36.48,1000,1200
2015/4/20,无功功率,17.04,2.76,2.04,1.8,1.92,18.24,2.88,2.4,3.24,20.64,39.72,8.76,-51.36,36.96,70.56,41.64,2.76,15.24,12.96,10.08,16.32,1.8,1.56,18.12,1000,1200
2015/4/21,有功功率,43.2,9.96,9.84,9.48,20.04,32.64,14.52,19.44,20.76,59.16,118.92,103.44,25.32,28.8,91.32,104.52,149.28,69.12,89.76,78.84,45,54.24,42.6,16.2,1000,1200
2015/4/21,无功功率,18,3.12,3.12,2.76,2.76,18.24,3,3,3.24,11.28,31.92,41.52,7.08,23.16,15.12,7.68,25.56,-69.12,23.4,38.52,5.04,14.88,-0.84,-15.36,1000,1200
2015/4/22,有功功率,10.08,32.88,33,22.92,9.84,,26.28,33.96,17.16,100.44,105.48,88.56,39.96,101.04,99.24,108,122.16,45.24,75.84,53.52,55.92,,,,1000,1200
2015/4/22,无功功率,-15.48,0,-0.48,-14.4,-14.76,-15.48,-13.32,-0.36,-12.96,40.44,34.44,6.36,-54.96,42,34.44,30.36,31.8,27,30.72,25.92,22.08,24.12,22.56,1.68,1000,1200
2015/4/23,有功功率,12,33.12,33.72,31.68,38.64,13.44,15.48,33.12,58.92,83.76,99.6,115.92,43.2,90.96,111.6,101.04,87.6,39.36,79.8,49.08,55.08,42.6,52.56,55.68,1000,1200
2015/4/23,无功功率,1.56,17.28,17.16,1.92,2.52,1.92,2.76,2.28,18,16.08,18.72,56.88,-76.8,-12.36,-1.92,2.4,15,-68.88,-25.68,-54.72,-79.8,-84.36,-77.4,-28.92,1000,1200
2015/4/24,有功功率,17.52,21.96,14.88,42.6,12.24,14.4,37.92,12.48,24.6,126.84,118.68,85.2,35.52,48.84,63.6,111.24,114.36,50.4,39.96,48.72,45.96,65.28,31.8,20.4,1000,1200
2015/4/24,无功功率,4.8,3.96,3.48,11.04,-4.92,-3.96,4.56,4.2,10.56,54.84,11.64,-5.76,-51,-28.8,-0.6,18.6,4.08,-33.36,-22.56,24.12,19.44,5.76,-10.08,-10.08,1000,1200
2015/4/25,有功功率,17.88,37.8,15,14.64,38.16,30.6,32.52,30.12,53.04,109.68,86.4,77.28,42,64.08,69.84,68.4,102.24,33.72,13.92,19.32,20.04,39.84,18.72,14.16,1000,1200
2015/4/25,无功功率,-9.48,5.4,-9.96,-9.6,-9.36,0,8.64,7.56,22.44,60.12,22.44,3.96,-35.64,-29.64,25.8,-9.96,41.16,18.72,6.72,5.64,4.2,19.44,5.28,4.68,1000,1200
2015/4/26,有功功率,13.56,11.64,25.2,36.24,14.76,12,23.64,14.52,20.28,81.84,79.44,64.08,24.96,27.96,36.12,63.24,70.2,20.52,25.8,13.92,32.16,18.84,42,14.64,1000,1200
2015/4/26,无功功率,4.44,5.04,5.04,20.16,4.8,5.28,5.28,5.64,5.88,50.88,53.16,29.52,17.88,30,19.68,27.12,18.12,8.4,5.52,4.2,3,3.84,18.72,3,1000,1200
2015/4/27,有功功率,24,35.16,33.24,15.12,9.96,9.84,26.76,24.48,40.2,67.92,77.04,65.88,35.28,67.44,60.48,77.04,82.68,40.68,43.08,68.76,35.52,60.84,47.64,16.08,1000,1200
