数据日期,用户名称,运行容量,计量方式,电能表号,综合倍率,当日最大需量,发生时间,表位数,在线情况
2015-05-24,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.0459,10:39,6.2,在线
2015-05-25,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.0857,3:06,6.2,在线
2015-05-26,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-05-27,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-05-28,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-05-29,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-05-30,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-05-31,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-01,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-02,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-03,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-04,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-05,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-06,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-07,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-08,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-09,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-10,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-11,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-12,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-13,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-14,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-15,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-16,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-17,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-18,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-19,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-20,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-21,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-22,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-23,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1221,2:40,6.2,在线
2015-06-24,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:45,6.2,在线
